group,ticker,omega,alpha,beta,persistence,half_life_days,log_likelihood,aic,lb_pvalue_resid,lb_pvalue_resid_sq
software,ESTC,1.2888190066253273,0.12908582334617275,0.7920778142832773,0.9211636376294501,8.440910476888241,-3890.8631888887576,7791.726377777515,0.43503369687992904,0.9936961515392914
software,FFIV,0.2433654669077168,0.09948656028608553,0.8439780412205824,0.9434646015066679,11.910475316146686,-2939.204216994408,5888.408433988816,0.4867380560033323,0.9526575559146448
software,FICO,1.1865541086856204,0.18890178543849967,0.6237281804633016,0.8126299659018013,3.340799690427768,-3269.9692610142547,6549.938522028509,0.5984925438196217,0.9988834737207346
software,FOUR,0.4706414116153974,0.10392422649455793,0.8676787012855696,0.9716029277801275,24.060869633834862,-3632.4739119421693,7274.9478238843385,0.260417455286477,0.8525923431020928
software,FROG,2.1785734098992697,0.10819149654417913,0.6977134473771918,0.8059049439213709,3.2121453915822222,-3389.5969737220275,6789.193947444055,0.2998488095147889,0.9988280651186195
software,FTNT,1.511636059360973,0.18364442211746757,0.644862922923189,0.8285073450406566,3.684413651319169,-3403.899582663169,6817.799165326338,0.2390248089388128,0.9981715694709927
software,GDDY,0.2201524333700907,0.07787472433663206,0.8844624786540111,0.9623372029906432,18.055237210945336,-3040.617420369534,6091.234840739068,0.590602998853673,0.9956388205049411
software,GEN,1.5583386140974353,0.16925866558422972,0.450340619083756,0.6195992846679858,1.448031699599067,-2961.0246896622193,5932.049379324439,0.891073947688666,0.9961510234741977
software,GTLB,0.025256420951015077,0.014511761093954065,0.9829784771744218,0.9974902382683758,275.83375362154294,-2989.4667827106705,5988.933565421341,0.8070804436476344,0.9936904531724285
software,GWRE,0.6553204446968155,0.1177291338426205,0.7656317380182086,0.8833608718608291,5.588928765297778,-3180.735082450894,6371.470164901788,0.26165831362352443,0.9783042817709922
software,HUBS,0.1980006109669323,0.07116747298595563,0.9167011191191375,0.9878685921050931,56.78930327307593,-3786.462492100656,7582.924984201312,0.10947481967354823,0.6751071909079491
software,IDCC,0.24093273330475146,0.0691927184230515,0.8906615999266395,0.959854318349691,16.916856508700704,-3076.28836983004,6162.57673966008,0.3555817819072922,0.9690543712877198
software,INTU,0.13218153531541163,0.10618968915658163,0.8727419959186298,0.9789316850752114,32.552178404228094,-3170.585591039161,6351.171182078322,0.08652817951392658,0.9902683913042358
software,IOT,0.030090906315375556,4.317471734876034e-19,0.9962325722861258,0.9962325722861258,183.6374101262186,-2757.680198047091,5525.360396094182,0.1918597806747485,0.9689699314640513
software,KVYO,2.692391531469562,0.18789659704012773,0.5954051754191206,0.7833017724592484,2.838007615332623,-1448.510896714942,2907.021793429884,0.5984397608526459,0.9850337843286696
software,LYFT,2.45261347338631,0.09106614068193027,0.7753915533776612,0.8664576940595915,4.835618346048476,-4173.911246566606,8357.822493133212,0.6190825639440876,0.9996147204995838
software,MANH,0.31957478040299864,0.07634965131603377,0.8735699981507689,0.9499196494668026,13.491160294061094,-3307.970246568527,6625.940493137054,0.4291582356850222,0.999975408150057
software,MDB,2.5265461728449345,0.10873341514724784,0.7607097966373096,0.8694432117845575,4.95451029286702,-4082.7960342287693,8175.5920684575385,0.4282288160158605,0.9893325513093816
software,MSFT,0.10181507198518573,0.1043192747035818,0.8692992514719651,0.9736185261755469,25.925894898356137,-2842.9958706787274,5695.991741357455,0.4623419065184253,0.9751766791639331
software,MSTR,0.24364527581788403,0.08804083948926908,0.9119591605107309,1.0,,-4526.876262450589,9063.752524901178,0.005653035243866896,0.3515796707985634
software,NET,0.16181831743306144,0.04498114494218283,0.948197381538011,0.9931785264801939,101.2655607260807,-4120.557332084917,8251.114664169834,0.4769663343846986,0.9645413405221062
software,NOW,0.17829957434191349,0.08330048022687767,0.9000185244076271,0.9833190046345047,41.205561471891976,-3423.5861762179493,6857.172352435899,0.42239963644059286,0.8327180195070885
software,NTAP,0.4878916577384583,0.14848462455225145,0.7573831769725192,0.9058678015247706,7.011267176329912,-3124.497193581195,6258.99438716239,0.7343907424630437,0.9783531540430963
software,NTNX,0.1791130606668618,0.01908873065173346,0.9623497676443133,0.9814384982960468,36.99561476953294,-3678.332629205725,7366.66525841145,0.271319360357467,0.999287945117094
software,OKTA,1.3259613622103632,0.1678272886254934,0.7331653875256056,0.9009926761510989,6.648374066294592,-3743.3712887237043,7496.742577447409,0.41762355953075225,0.9984027834794652
